id,type,short_name
street_1,CALLE,1
street_2,CALLE,1 1/2
street_3,CALLE,10
street_4,CALLE,11
street_5,PASAJE,11
street_6,CALLE,12
street_7,PASAJE,12 1/2
street_8,CALLE,13
street_9,CALLE,14
street_10,PASAJE,14
street_11,PASAJE,140
street_12,PASAJE,144
street_13,CALLE,15
street_14,PASAJE,19 DE ABRIL
street_15,CALLE,19 DE ABRIL
street_16,PASAJE,194
street_17,CALLE,2
street_18,PASAJE,23
street_19,PASAJE,28
street_20,CALLE,3
street_21,CALLE,3 1/2
street_22,PASAJE,31
street_23,PASAJE,34
street_24,PASAJE,35
street_25,PASAJE,36
street_26,PASAJE,4
street_27,CALLE,4
street_28,CALLE,4 1/2
street_29,CALLE,5
street_30,PASAJE,5
street_31,PASAJE,5 1/2
street_32,CALLE,5 1/2
street_33,PASAJE,500
street_34,PASAJE,6
street_35,CALLE,6
street_36,CALLE,6 1/2
street_37,PASAJE,7
street_38,CALLE,7
street_39,CALLE,7 1/2
street_40,PASAJE,8
street_41,CALLE,8
street_42,PASAJE,9
street_43,CALLE,9
street_44,CALLE,9 1/2
street_45,PASAJE,A
street_46,PASAJE,ABDON SOMOZA
street_47,CALLE,ABEL ARAVENA
street_48,CALLE,AGUA MARINA
street_49,PASAJE,AGUIRRE LUCO
street_50,CALLE,AGUSTIN VIGORENA
street_51,CALLE,ALBERTO BAINES
street_52,PASAJE,ALBERTO RIED
street_53,CALLE,ALCALDE CARLOS ALDUNATE
street_54,AVENIDA,ALCALDE EDUARDO CASTILLO VELASCO
street_55,CALLE,ALCALDE EDUARDO CASTILLO VELASCO
street_56,PASAJE,ALCALDE EDUARDO CASTILLO VELASCO
street_57,PASAJE,ALCALDE JORGE MONCKEBERG
street_58,CALLE,ALCALDE JORGE MONCKEBERG
street_59,AVENIDA,ALCALDE JORGE MONCKEBERG
street_60,CALLE,ALCAZAR
street_61,CALLE,ALEJANDRO RENGIFO
street_62,CALLE,ALERCES
street_63,PASAJE,ALFA
street_64,CALLE,ALONSO DE ERCILLA
street_65,PASAJE,ALVARO PUGA
street_66,PASAJE,AMAPOLAS
street_67,PASAJE,AMAPOLAS INTERIOR
street_68,AVENIDA,AMERICO VESPUCIO
street_69,CALLE,ANGEL CRUCHAGA SANTA MARIA
street_70,CALLE,ANGEL PINO
street_71,PASAJE,ANGELMO
street_72,PASAJE,ANIBAL ARACENA INFANTE
street_73,CALLE,ANIBAL PINTO
street_74,PASAJE,ANSELMO AGUAYO
street_75,CALLE,ANTILHUE
street_76,CALLE,ANTONIO SECCHI
street_77,AVENIDA,ANTONIO SECCHI
street_78,AVENIDA,ANTONIO VARAS
street_79,PASAJE,ARCADIA
street_80,CALLE,ARISTOTELES
street_81,CALLE,ARMANDO CARRERA
street_82,PASAJE,ARQUITECTO GABRIEL OVALLE
street_83,PASAJE,ARTIFICIO
street_84,CALLE,ARTIFICIO
street_85,PASEO,ARTIFICIO
street_86,CALLE,ARTURO MEDINA
street_87,PASAJE,ARTURO MEDINA
street_88,CALLE,ARZOBISPO FUENZALIDA MARTINEZ
street_89,CALLE,ATAHUALPA
street_90,PASAJE,ATICA
street_91,PASAJE,AUGUSTO VILLANUEVA
street_92,CALLE,AUGUSTO VILLANUEVA
street_93,CARRETERA,AUTOPISTA VESPUCIO SUR
street_94,CALLE,AVALOS
street_95,AVENIDA,AVENIDA AMERICO VESPUCIO
street_96,AVENIDA,AVENIDA OSSA
street_97,CALLE,AZAPA
street_98,PASAJE,B
street_99,CALLE,BADEN
street_100,CALLE,BADILLA
street_101,PASAJE,BAILEN
street_102,CALLE,BANCO DE CHILE
street_103,CALLE,BATUCO
street_104,PASAJE,BAYONA
street_105,CALLE,BEETHOVEN
street_106,PASAJE,BELMONTE
street_107,CALLE,BERNARDO DE AMASSA
street_108,PASAJE,BETA
street_109,PASAJE,BOLLEN
street_110,CALLE,BREMEN
street_111,PASAJE,BREMEN
street_112,CALLE,BRETAÑA
street_113,CALLE,BRIGIDA WALKER
street_114,CALLE,BROWN NORTE
street_115,PASAJE,BROWN NORTE
street_116,CALLE,BROWN SUR
street_117,PASAJE,BUCALEMU
street_118,CALLE,CAMPOAMOR
street_119,PASAJE,CAMPOAMOR
street_120,AVENIDA,CAMPOS DE DEPORTES
street_121,PASAJE,CAMPOS DE DEPORTES
street_122,CALLE,CANONIGO MADARIAGA
street_123,CALLE,CAPITAN FUENTES
street_124,AVENIDA,CAPITAN IGNACIO CARRERA PINTO
street_125,CALLE,CAPITAN IGNACIO CARRERA PINTO
street_126,PASAJE,CAPITAN ORELLA
street_127,CALLE,CAPITAN ORELLA
street_128,CALLE,CARLOS AGUIRRE LUCO
street_129,CALLE,CARLOS BESA
street_130,AVENIDA,CARLOS DITTBORN
street_131,PASAJE,CARLOS DITTBORN
street_132,CALLE,CARLOS MONTT
street_133,PASAJE,CARLOS MONTT
street_134,CALLE,CARLOS SILVA FIGUEROA
street_135,CALLE,CARMEN COVARRUBIAS
street_136,PASAJE,CARMEN COVARRUBIAS
street_137,CALLE,CASTILLO URIZAR
street_138,CALLE,CAUPOLICAN
street_139,CALLE,CAUQUENES
street_140,CALLE,CELERINO PEREIRA
street_141,CALLE,CELIA SOLAR
street_142,CALLE,CERVANTES
street_143,PASAJE,CERVANTES
street_144,CALLE,CHACA
street_145,CALLE,CHALLACOLLO
street_146,PASAJE,CHANKS
street_147,CALLE,CHILCAYA
street_148,PASAJE,CHILE ESPAÑA
street_149,AVENIDA,CHILE ESPAÑA
street_150,PASAJE,CHIU CHIU
street_151,CALLE,CICERON
street_152,PASAJE,CIRUJANO VIDELA
street_153,CALLE,CIRUJANO VIDELA
street_154,CALLE,CLORINDA WILLSHAW
street_155,CALLE,COLO COLO
street_156,PASAJE,CONDELL
street_157,AVENIDA,CONDELL
street_158,PASAJE,CONDOMINIO JOSE PEDRO ALESSANDRI
street_159,CALLE,CONDOMINIO NUEVA 2000
street_160,CALLE,CONSCRIPTO ARREDONDO
street_161,CALLE,CONTRAMAESTRE MICALVI
street_162,PASAJE,CONTRERAS
street_163,AVENIDA,COQUIMBO
street_164,CALLE,CORDILLERA
street_165,CALLE,CORFU
street_166,PASAJE,COVENTRY
street_167,CALLE,COVENTRY
street_168,CALLE,CRESCENTE ERRAZURIZ
street_169,CALLE,CRUCHAGA SANTA MARIA
street_170,CALLE,CUATRO
street_171,PASAJE,CUESTA EL MELON
street_172,PASEO,CUESTA EL MELÓN
street_173,CALLE,CURAMILLA
street_174,CALLE,CURANIPE
street_175,PASAJE,DAGOBERTO GODOY
street_176,PASAJE,DELFOS
street_177,AVENIDA,DIAGONAL ORIENTE
street_178,PASAJE,DIAGONAL ORIENTE
street_179,CALLE,DIAGONAL ORIENTE
