OBJECTID,CUT_COM,CONARA,REGION,COMUNA,NOMBRE_AUX,NOMBRE_MAESTRO,INI_IZQ,INI_DER,TER_IZQ,TER_DER,CODIGO,SHAPE_Length
349768,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,CARRETERA AUTOPISTA VESPUCIO SUR,1021,0,935,0,V1312010441,154.599733030276
349769,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,CARRETERA AUTOPISTA VESPUCIO SUR,0,0,0,0,V1312010441,226.949042900229
349770,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,CARRETERA AUTOPISTA VESPUCIO SUR,0,0,0,0,V1312010441,60.5539789284654
349771,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,CARRETERA AUTOPISTA VESPUCIO SUR,0,0,0,0,V1312010441,373.465536448378
349772,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,5006,4995,5014,4995,V1312010002,30.8721756461508
349773,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,3488,3455,3520,3519,V1312010002,116.007096109491
349774,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,4804,4801,4890,4873,V1312010002,114.629109291946
349775,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,4980,4973,4988,4991,V1312010002,31.1587644023837
349776,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,3776,0,3776,0,V1312010002,24.8919475828726
349777,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,5240,4995,5240,4995,V1312010002,28.11151309489
349778,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,1912,2911,2994,2995,V1312010002,141.676803534876
349779,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,250,2525,2696,2727,V1312010002,273.630146373805
349780,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,0,0,0,0,V1312010002,12.7598391914122
349781,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,3314,3275,3328,3311,V1312010002,80.2511753635091
349782,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,5404,5403,5500,5427,V1312010002,246.897324739762
349783,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,4954,0,4962,0,V1312010002,33.8887659776868
349784,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,5310,5303,5384,5399,V1312010002,102.803816801105
349785,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,2712,2811,2994,2905,V1312010002,212.955594505252
349786,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,3780,3783,3794,3793,V1312010002,91.0881339858473
349787,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,3750,0,3762,0,V1312010002,66.366056053376
349788,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,5240,5235,5240,5235,V1312010002,34.652933676018
349789,13120,15105,METROPOLITANA DE SANTIAGO,ÑUÑOA,,AVENIDA ALCALDE EDUARDO CASTILLO VELASCO,3336,3369,3488,3375,V1312010002,117.125255502974
