UV,Name
1,Tobalaba
2,Amapolas
3,Arturo Prat
4,Parque Pucará
5,Plaza Bremen
6,Parque Gorostiaga
7,Consistorial
8,Irarrázaval
9,General Sucre 2
10,Washington Espejo
11,Condell
12,Javiera Carrera
13,Suárez Mujica
14,Eusebio Lillo
15,Parque del Deporte
16,Los Tres Antonios
17,Villa Alemana/Yugoslavia
18,Plaza Ñuñoa Sur
19,Universidad
20,Parque Juan XXIII
21,Parque Ramón Cruz
22,Contramaestre Micalvi
23,Villa Presidente Frei
24,Villa Los Jardines
25,Villa Lo Plaza
26,Villa Los Presidentes
27,Villa Los Alerces
28,José Pedro Alessandri
29,Dr. Luis Bisquert
30,Guillermo Mann
31,Plaza Zañartu
32,Villa Olímpica
33,Villa Salvador Cruz Gana
34,Rebeca Matte
35,Exequiel González Cortés
36,La Portada
37,Bernardo O'Higgins
